SampleNumber,CTime,Duration,PowerData
809,73.12486,90.72,14133.17
810,73.21562,90.77,13602.13
811,73.30563,90,13424.63
812,73.39614,90.51,13892.08
813,73.48793,91.79,13552.82
814,73.57867,90.73,14032.75
815,73.67055,91.88,13840.59
816,73.76055,90.01,14933.4
817,73.85076,90.21,15506.2
818,73.94116,90.4,13622.39
819,74.03117,90.02,13854.82
820,74.1212,90.02,14040.88
821,74.21144,90.25,13484.32
822,74.3022,90.75,15623.54
823,74.39258,90.37,13522.63
824,74.48258,90.01,13546.39
825,74.57259,90,14229.25
826,74.66264,90.05,14033.34
827,74.75264,90,13293.75
828,74.84271,90.07,14586.51
829,74.93273,90.02,13497.8
830,75.02425,91.52,13964.99
831,75.11501,90.75,15900.56
832,75.20583,90.82,13930.85
833,75.29716,91.33,13295.54
834,75.38719,90.04,13522.67
835,75.47964,92.45,13307.96
836,75.57043,90.79,14525.05
837,75.66116,90.73,13628.62
838,75.75195,90.79,13509.2
839,75.84253,90.58,14758.79
840,75.93253,90,13868.93
841,76.02258,90.05,13844.75
842,76.11262,90.04,13855.24
843,76.20271,90.1,14659.75
844,76.29272,90,13510.48
845,76.38428,91.57,13911.88
846,76.47502,90.73,13670.85
847,76.56577,90.75,13642.6
848,76.65658,90.8,13598.43
849,76.74787,91.3,14058.57
850,76.83817,90.31,14327.48
851,76.92846,90.28,13318.73
852,77.01878,90.33,13818.99
853,77.10951,90.73,13357.11
854,77.20027,90.76,14124.13
855,77.29108,90.81,13505.02
856,77.38182,90.74,14143.4
857,77.47256,90.74,13368.65
858,77.56256,90,13915.1
859,77.65257,90.01,13248.45
860,77.74259,90.02,13830.93
861,77.83263,90.03,14272.77
862,77.92265,90.02,13924.21
863,78.01266,90.01,13416.6
864,78.10265,90,15866.16
865,78.19269,90.03,14607.07
866,78.28345,90.76,14047.69
867,78.37377,90.32,15031.33
868,78.46378,90,13507.77
869,78.554,90.23,14018.79
870,78.6451,91.1,13469.74
871,78.73583,90.73,13516.11
872,78.82656,90.73,14059.49
873,78.91656,90.01,13607.53
874,79.0081,91.54,13443.84
875,79.09884,90.73,14421.67
876,79.1889,90.06,27293.12
877,79.27889,90,27096.11
878,79.36907,90.18,13953.29
